parent_id,sub_project_name,budget_2024,budget_2025,budget_2026,managing_dept,implementing_agency
1,감사자료분석시스템 구축ㆍ운영,1811,1781,2086,디지털감사국,감사원
1,OASYS 구축ㆍ운영,12822,12854,6504,디지털감사국,감사원
